"group","parameter","base_case","lower","upper","range","distribution","source"
"Model structure","Time horizon","30 years","5 years","30 years","5 years to 30 years","Scenario","Assumption; effectively lifetime given ~18-month median overall survival"
"Model structure","Cycle length","6 weeks","Fixed","--","Fixed","Fixed","Matches the trial's pembrolizumab dosing interval"
"Model structure","Discount rate (costs and outcomes)","3% annually","0%","5%","0% to 5%","Scenario","Second Panel on Cost-Effectiveness in Health and Medicine reference case"
"Model structure","Pembrolizumab treatment cap","18 cycles","Fixed","--","Fixed","Fixed","KEYNOTE-B96 protocol"
"Survival","Overall survival, pembrolizumab (Weibull shape, scale)","1.479, 23.529","19.769","28.003","19.769 to 28.003","Lognormal","Calibrated to KEYNOTE-B96 median and landmark survival"
"Survival","Overall survival, placebo (Weibull shape, scale)","1.422, 18.584","16.466","20.974","16.466 to 20.974","Lognormal","Calibrated to KEYNOTE-B96 median and landmark survival"
"Survival","Progression-free survival, pembrolizumab (Weibull shape, scale)","1.111, 11.543","9.769","13.638","9.769 to 13.638","Lognormal","Calibrated to KEYNOTE-B96 median and landmark survival"
"Survival","Progression-free survival, placebo (Weibull shape, scale)","1.494, 9.201","7.878","10.746","7.878 to 10.746","Lognormal","Calibrated to KEYNOTE-B96 median and landmark survival"
"Health-state utilities","Progression-free disease","0.61","0.50","0.83","0.50 to 0.83","Beta","Havrilesky 2009, time-trade-off mean, grade 3-4 toxicity state (n=14)"
"Health-state utilities","Progressed disease","0.47","0.40","0.79","0.40 to 0.79","Beta","Havrilesky 2009, time-trade-off mean, grade 3-4 toxicity state (n=15)"
"Health-state utilities","Adverse-event disutility","0.00","Not varied","--","Not varied","Fixed","Deliberate zero: toxicity is embedded in the health-state values above"
"Drug and administration costs","Pembrolizumab, per 400 mg dose","$24,544","ASP+6% scenario","--","ASP+6% scenario","Threshold analysis","Red Book Online, wholesale acquisition cost, accessed 3 August 2026"
"Drug and administration costs","Paclitaxel, per mg","$0.099","$64.627","$96.941","$64.627 to $96.941","Gamma","CMS Part B Payment Limit File, January 2026 (J9267)"
"Drug and administration costs","Bevacizumab biosimilar, per 10 mg","$23.84","Originator product scenario","--","Originator product scenario","Scenario","CMS Part B Payment Limit File, January 2026 (Q5107)"
"Drug and administration costs","Infusion administration, per visit","$133.93","Not varied","--","Not varied","Fixed","CMS Physician Fee Schedule 2026 (CPT 96413)"
"Drug and administration costs","PD-L1 companion diagnostic, once","$110.77","Not varied","--","Not varied","Fixed","CMS Physician Fee Schedule 2026 (CPT 88342)"
"Adverse-event costs","Febrile neutropenia, per episode","$28,545","$27,611","$29,479","$27,611 to $29,479","Gamma","Flanigan 2024; $25,176 in 2021 dollars, inflated to 2026"
"Adverse-event costs","Grade >=3 anemia, per episode","$6,575","$3,035","$4,818","$3,035 to $4,818","Gamma","Wong 2018; $4,818 in 2015 dollars, inflated to 2026"
"Adverse-event costs","Adrenal insufficiency, per episode","$12,556","$10,045","$15,067","$10,045 to $15,067","Gamma","Shaka 2022; $10,006 in 2018 dollars, inflated to 2026"
"Adverse-event costs","Hypothyroidism, per year","$265.98","$186","$346","$186 to $346","Gamma","Built from CMS NADAC, Clinical Laboratory Fee Schedule and Physician Fee Schedule 2026"
"Adverse-event costs","Subsequent therapy, per cycle","$0","$88","$40,231 per month (scenario)","$88 to $40,231 per month (scenario)","Scenario","Structural exclusion; bounded by scenario analysis"
"Adverse-event probabilities","Febrile neutropenia proxy, pembrolizumab / placebo","0.184 / 0.135","0.146","0.231","0.146 to 0.231","Beta","KEYNOTE-B96; grade >=3 neutrophil count decreased used as proxy"
"Adverse-event probabilities","Grade >=3 anemia, pembrolizumab / placebo","0.119 / 0.079","0.088","0.159","0.088 to 0.159","Beta","KEYNOTE-B96"
"Adverse-event probabilities","Adrenal insufficiency, pembrolizumab / placebo","0.022 / 0.000","0.011","0.044","0.011 to 0.044","Beta","KEYNOTE-B96"
"Adverse-event probabilities","Hypothyroidism, pembrolizumab / placebo","0.181 / 0.060","Not varied","--","Not varied","Beta","KEYNOTE-B96"
"Other","Bevacizumab use rate, pembrolizumab / placebo","0.730 / 0.735","0.679","0.775","0.679 to 0.775","Beta","KEYNOTE-B96 overall population; subgroup rates not separately reported"
"Other","Body surface area","1.7 m2","Not varied","--","Not varied","Fixed","Assumed average adult female body surface area"
"Other","Body weight","65 kg","Not varied","--","Not varied","Fixed","Assumed average adult body weight"
